,Name,runs,balls,fours,sixes,sr
0,Ruturaj Gaikwad,635.0,466.0,64.0,23.0,136.26609442060087
1,Faf du Plessis,633.0,458.0,60.0,23.0,138.20960698689956
2,Robin Uthappa,115.0,84.0,8.0,5.0,136.9047619047619
3,Moeen Ali,357.0,260.0,31.0,19.0,137.30769230769232
4,Shubman Gill,478.0,402.0,50.0,12.0,118.90547263681592
5,Venkatesh Iyer,370.0,288.0,37.0,14.0,128.47222222222223
6,Nitish Rana,383.0,314.0,34.0,17.0,121.97452229299363
7,Sunil Narine,62.0,47.0,3.0,5.0,131.91489361702128
8,Eoin Morgan,133.0,139.0,8.0,6.0,95.68345323741008
9,Dinesh Karthik,223.0,170.0,22.0,7.0,131.1764705882353
10,Shakib Al Hasan,47.0,48.0,3.0,1.0,97.91666666666667
11,Rahul Tripathi,397.0,283.0,41.0,11.0,140.2826855123675
12,Lockie Ferguson,18.0,11.0,1.0,1.0,163.63636363636363
13,Shivam Mavi,25.0,20.0,2.0,2.0,125.0
14,Varun Chakravarthy,2.0,4.0,0.0,0.0,50.0
15,Prithvi Shaw,479.0,301.0,56.0,18.0,159.13621262458472
16,Shikhar Dhawan,587.0,471.0,63.0,16.0,124.62845010615712
17,Marcus Stoinis,89.0,72.0,11.0,1.0,123.61111111111111
18,Shreyas Iyer,175.0,171.0,7.0,5.0,102.3391812865497
19,Rishabh Pant,419.0,326.0,42.0,10.0,128.5276073619632
20,Shimron Hetmyer,242.0,144.0,19.0,12.0,168.05555555555554
21,Axar Patel,40.0,46.0,2.0,1.0,86.95652173913044
22,Devdutt Padikkal,411.0,328.0,44.0,14.0,125.3048780487805
23,Virat Kohli,405.0,339.0,43.0,9.0,119.46902654867256
24,Srikar Bharat,191.0,156.0,10.0,8.0,122.43589743589743
25,Glenn Maxwell,513.0,356.0,48.0,21.0,144.1011235955056
26,AB de Villiers,313.0,211.0,23.0,16.0,148.34123222748815
27,Shahbaz Ahmed,59.0,53.0,4.0,2.0,111.32075471698113
28,Dan Christian,14.0,24.0,1.0,0.0,58.333333333333336
29,Harshal Patel,59.0,46.0,6.0,2.0,128.2608695652174
30,George Garton,2.0,4.0,0.0,0.0,50.0
31,Tom Curran,21.0,17.0,2.0,0.0,123.52941176470588
32,Shardul Thakur,5.0,5.0,0.0,0.0,100.0
33,Ambati Rayudu,257.0,170.0,16.0,17.0,151.1764705882353
34,MS Dhoni,114.0,107.0,12.0,3.0,106.54205607476635
35,Ravindra Jadeja,227.0,156.0,19.0,9.0,145.51282051282053
36,Ripal Patel,25.0,27.0,3.0,0.0,92.5925925925926
37,Rohit Sharma,381.0,299.0,33.0,14.0,127.4247491638796
38,Ishan Kishan,241.0,180.0,21.0,10.0,133.88888888888889
39,Hardik Pandya,127.0,112.0,11.0,5.0,113.39285714285714
40,Kieron Pollard,245.0,165.0,16.0,16.0,148.4848484848485
41,Suryakumar Yadav,317.0,221.0,40.0,10.0,143.4389140271493
42,James Neesham,0.0,2.0,0.0,0.0,0.0
43,Krunal Pandya,143.0,123.0,10.0,6.0,116.26016260162602
44,Nathan Coulter-Nile,4.0,5.0,0.0,0.0,80.0
45,Piyush Chawla,0.0,2.0,0.0,0.0,0.0
46,Jasprit Bumrah,16.0,17.0,2.0,0.0,94.11764705882354
47,Trent Boult,1.0,4.0,0.0,0.0,25.0
48,Jason Roy,150.0,121.0,21.0,1.0,123.96694214876032
49,Abhishek Sharma,98.0,75.0,7.0,4.0,130.66666666666666
50,Manish Pandey,292.0,236.0,21.0,10.0,123.72881355932203
51,Mohammad Nabi,34.0,20.0,3.0,2.0,170.0
52,Abdul Samad,111.0,87.0,4.0,8.0,127.58620689655173
53,Priyam Garg,72.0,74.0,2.0,3.0,97.29729729729729
54,Jason Holder,85.0,72.0,2.0,6.0,118.05555555555556
55,Rashid Khan,83.0,69.0,9.0,2.0,120.28985507246377
56,Wriddhiman Saha,131.0,140.0,7.0,5.0,93.57142857142857
57,Siddarth Kaul,8.0,8.0,1.0,0.0,100.0
58,Yashasvi Jaiswal,249.0,168.0,32.0,10.0,148.21428571428572
59,Liam Livingstone,42.0,41.0,3.0,1.0,102.4390243902439
60,Sanju Samson,484.0,354.0,45.0,17.0,136.72316384180792
61,Shivam Dube,230.0,193.0,18.0,10.0,119.17098445595855
62,Anuj Rawat,0.0,1.0,0.0,0.0,0.0
63,Glenn Phillips,26.0,33.0,1.0,2.0,78.78787878787878
64,Rahul Tewatia,155.0,147.0,11.0,6.0,105.4421768707483
65,Chris Morris,67.0,49.0,2.0,5.0,136.73469387755102
66,Jaydev Unadkat,41.0,29.0,3.0,2.0,141.3793103448276
67,Chetan Sakariya,16.0,25.0,2.0,0.0,64.0
68,Mustafizur Rahman,8.0,14.0,0.0,1.0,57.142857142857146
69,Dwayne Bravo,47.0,18.0,3.0,4.0,261.1111111111111
70,KL Rahul,626.0,451.0,48.0,30.0,138.80266075388028
71,Mayank Agarwal,441.0,314.0,42.0,18.0,140.44585987261146
72,Sarfaraz Khan,0.0,4.0,0.0,0.0,0.0
73,M Shahrukh Khan,153.0,114.0,9.0,10.0,134.21052631578948
74,Aiden Markram,146.0,119.0,12.0,4.0,122.6890756302521
75,Moises Henriques,31.0,32.0,0.0,1.0,96.875
76,Kane Williamson,266.0,235.0,29.0,2.0,113.19148936170212
77,Evin Lewis,151.0,93.0,18.0,7.0,162.36559139784947
78,David Miller,124.0,113.0,11.0,3.0,109.73451327433628
79,Shreyas Gopal,7.0,5.0,0.0,1.0,140.0
80,Kuldip Yadav,0.0,4.0,0.0,0.0,0.0
81,Ravichandran Ashwin,44.0,42.0,2.0,1.0,104.76190476190476
82,Kagiso Rabada,13.0,6.0,2.0,0.0,216.66666666666666
83,Bhuvneshwar Kumar,34.0,30.0,3.0,0.0,113.33333333333333
84,Nicholas Pooran,85.0,76.0,3.0,5.0,111.84210526315789
